run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,700,0.6110280871391296,42.59006999999838,,,1.1356970999986515,1.183057499999955,,0.7199999690055847,none,0.03337295725941658,0.03337295725941658,1.0,,0.6624546664237976,0.5374,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,720,0.5870086953043938,44.362349600000016,,,1.7722796000016388,1.198982421621622,,0.6800000071525574,none,0.037400584667921066,0.037400584667921066,1.0,,0.6672640233039856,0.5401,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,740,0.5885310560464859,47.30735540000023,,,2.9450058000002173,1.244930405263164,,0.6399999856948853,none,0.037581589072942734,0.037581589072942734,1.0,,0.6690679153442383,0.5306,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,760,0.5863561421632767,50.385288800000126,,,3.0779333999998926,1.2919304820512854,,0.6800000071525574,none,0.04944879561662674,0.04944879561662674,1.0,,0.6615313978195191,0.538,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,780,0.5863406032323837,53.1607855000002,,,2.775496700000076,1.329019637500005,,0.699999988079071,none,0.035074248909950256,0.035074248909950256,1.0,,0.6593023815155029,0.5355,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,800,0.589217621088028,56.319665499999246,,,3.1588799999990442,1.373650378048762,,0.4599999785423279,none,0.038833435624837875,0.038833435624837875,1.0,,0.6623551448822022,0.5375,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,820,0.5732657730579376,59.327905199999805,,,3.0082397000005585,1.4125691714285669,,0.7599999904632568,none,0.042189937084913254,0.042189937084913254,1.0,,0.659504591178894,0.544,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,840,0.5569850176572799,61.9180563000009,,,2.590151100001094,1.4399547976744396,,0.6599999666213989,none,0.0351676270365715,0.0351676270365715,1.0,,0.6605334813117981,0.5388,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,860,0.5575879424810409,64.56357149999894,,,2.6455151999980444,1.4673538977272487,,0.6800000071525574,none,0.041156746447086334,0.041156746447086334,1.0,,0.6625677722930908,0.546,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,880,0.5818082675337791,67.52657209999961,,,2.963000600000669,1.5005904911111025,,0.4599999785423279,none,0.03868164122104645,0.03868164122104645,1.0,,0.6585527410507203,0.5469,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,900,0.5848353147506714,70.30850099999952,,,2.7819288999999117,1.5284456739130332,,0.6399999856948853,none,0.03605290874838829,0.03605290874838829,1.0,,0.6654649942398071,0.5346,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,920,0.5503572359681129,73.1239616999992,,,2.815460699999676,1.5558289723404084,,0.7400000095367432,none,0.035700876265764236,0.035700876265764236,1.0,,0.6524320603370667,0.5546,,42,baseline
